key,BR,DE,EE,EN,ES LATAM,ES,FR,IT,JA,KO,PL,PT,RU,TR,UA,ZHS,ZHT
ROUNDS BEAT,RODADAS SUPERADAS,RUNDEN GESCHAFFT,VOORE LÄBITUD,ROUNDS BEAT,RONDAS GANADAS,RONDAS SUPERADAS,MANCHES GAGNÉES,ROUND VINTI,勝利ラウンド数,승리한 라운드 수,ZWYCIĘSKIE RUNDY,RONDAS SUPERADAS,ВЫИГРАНО РАУНДОВ .....,KAZANILAN RAUNT:,ВИГРАНО РАУНДІВ,完成回合数,完成回合數
MP_LOBBY LEAVE TABLE,SAIR DA MESA,TISCH VERLASSEN,LAHKU LAUAST,LEAVE TABLE,ABANDONAR LA MESA,ABANDONAR MESA,QUITTER LA TABLE,LASCIA IL TAVOLO,テーブルを離脱,테이블 떠나기,OPUŚĆ STÓŁ,SAIR DA MESA,ПОКИНУТЬ СТОЛ,MASADAN KALK,ПОКИНУТИ СТІЛ,离开本桌,離開房間
CIGS SMOKED,CIGARROS FUMADOS,ZIGARETTEN GERAUCHT,SUITSU TEHTUD,CIGARETTES SMOKED,CIGARRILLOS FUMADOS,CIGARRILLOS FUMADOS,CIGARETTES FUMÉES,SIGARETTE FUMATE,吸ったタバコ本数,피운 담배 대수,WYPALONE PAPIEROSY,ML DE CERVEJA BEBIDOS,ВЫКУРЕНО СИГАРЕТ .....,İÇİLEN SİGARA:,ВИКУРЕНО ЦИГАРОК,吸掉的香烟,吸掉的香煙
MP_UI MOST DEATHS,MAIOR NÚMERO DE MORTES,AM ÖFTESTEN GESTORBEN,KÕIGE ROHKEM SURMI,MOST DEATHS,MAYOR CANTIDAD DE MUERTES,MAYOR CANTIDAD DE MUERTES,LE PLUS DE MORTS,PIÙ MORTI,最大死亡数,사망 횟수 최다,NAJWIĘCEJ ŚMIERCI,MAIS MORTES,БОЛЬШЕ ВСЕГО СМЕРТЕЙ,EN ÇOK ÖLÜM,НАЙБІЛЬШЕ СМЕРТЕЙ,死亡次数最多,最高死亡次數
MP_UI ITEM DISTRIBUTION,DISTRIBUIÇÃO DE ITENS,GEGENSTANDSVERTEILUNG,ASJADE JAOTAMINE:,ITEM DISTRIBUTION,DISTRIBUCIÓN DE OBJETOS,DISTRIBUCIÓN DE OBJETOS,DISTRIBUTION DES OBJETS,DISTRIBUZIONE OGGETTI,アイテム分配,아이템 분배,ROZKŁAD PRZEDMIOTÓW,DISTRIBUIÇÃO DE ITENS,РАСПРЕДЕЛЕНИЕ ПРЕДМЕТОВ:,EŞYA DAĞILIMI,РОЗПОДІЛ ПРЕДМЕТІВ,物品分配,物品分配
MP_UI CUSTOMIZE MATCH,CUSTOMIZAR CONFIGURAÇÕES DA PARTIDA,MATCHEINSTELLUNGEN ANPASSEN,KOHANDA MÄNGU SEADISTUST,CUSTOMIZE MATCH SETTINGS,PERSONALIZAR LOS AJUSTES DE LA PARTIDA,PERSONALIZAR AJUSTES DE LA PARTIDA,PARAMÉTRER LA PARTIE :,PERSONALIZZA IMPOSTAZIONI PARTITA,マッチ設定カスタマイズ,매치 설정 사용자 정의,DOSTOSUJ OPCJE MECZU,PERSONALIZAR DEFINIÇÕES DA PARTIDA,НАСТРОЙКИ МАТЧА,KAPIŞMA AYARLARINI ÖZELLEŞTİR,ЗМІНИТИ НАЛАШТУВАННЯ МАТЧУ,自定义比赛设置,對戰設定
REBINDING,RECONFIGURAR CONTROLES,STEUERUNG NEU ZUWEISEN,NUPPUDE ÜMBERSEADISTAMINE,REBIND CONTROLS,ENLAZAR CONTROLES,REASIGNAR CONTROLES,CONFIGURER LES TOUCHES,REIMPOSTA I COMANDI,操作再割当,조작키 재설정,ZMIEŃ STEROWANIE,CONFIGURAR CONTROLOS,ИЗМЕНИТЬ УПРАВЛЕНИЕ,KONTROLLERİ YENİDEN ATA,ЗМІНИТИ КЕРУВАННЯ,重新绑定控制,重新設定控制
BACK,VOLTAR,ZURÜCK,TAGASI,BACK,ATRÁS,ATRÁS,RETOUR,INDIETRO,戻る,뒤로,WSTECZ,VOLTAR,НАЗАД,GERİ,НАЗАД,返回,返回
MORE INTERESTING,"VAMOS DEIXAR ISSO UM POUCO
MAIS INTERESSANTE...","MACHEN WIR DIE SACHE EIN
BISSCHEN INTERESSANTER ...","TEEME SELLE NATUKE
HUVITAVAMAKS ...","LET'S MAKE THIS A LITTLE
MORE INTERESTING ...","HAGAMOS QUE ESTO SEA UN
POCO MÁS INTERESANTE...","HAGAMOS QUE ESTO SEA UN POCO
MÁS INTERESANTE...","FAISONS UN PEU MONTER
LES ENCHÈRES…","RENDIAMO IL TUTTO
UN PO' PIÙ INTERESSANTE...",もっと楽しもうか……,"이번엔 게임을 좀 더
재미있게 해 볼까...","SPRAWIMY, ŻEBY BYŁO
BARDZIEJ INTERESUJĄCO...","VAMOS TORNAR ISTO UM POUCO
MAIS INTERESSANTE...","ДАВАЙ-КА СДЕЛАЕМ 
ИГРУ ПОИНТЕРЕСНЕЙ...","HADİ BUNU BİRAZ DAHA
İLGİNÇ HALE GETİRELİM...","ЧАС ЗРОБИТИ 
ГРУ ЦІКАВІШОЮ...","我们来玩更
刺激的吧……","我們來玩更
刺激的吧......"
LIVEROUND,%s MUNIÇÃO REAL.,%s SCHARFE MUNITION.,%s TERAV.,%s LIVE ROUND.,%s BALA CARGADA.,%s BALA CARGADA.,%s CARTOUCHE RÉELLE.,%s PROIETTILE VERO.,実弾 %s,%s 실탄이야.,%s OSTRY NABÓJ.,%s MUNIÇÃO REAL.,%s БОЕВОЙ.,%s GERÇEK FİŞEK.,%s БОЙОВИЙ.,%s 实弹。,%s 實彈。
MP_UI LEAST CAREFUL,MENOS CUIDADOSO,DER UNACHTSAMSTE,KÕIGE TUISAKAM,LEAST CAREFUL,MÁS IMPRUDENTE,EL MÁS DESCUIDADO,LE MOINS PRUDENT,MENO PRUDENTE,無鉄砲,제일 부주의,NAJMNIEJ OSTROŻNY GRACZ,MENOS PRUDENTE,САМЫЙ НЕОСТОРОЖНЫЙ,EN DİKKATSİZ,НАЙНЕОБАЧНІШИЙ,最莽莽撞撞,冒失鬼
MP_CUSTOMIZED,CONFIGURAÇÕES DA PARTIDA PERSONALIZADA:,ANGEPASSTE MATCHEINSTELLUNGEN:,KOHANDATUD MÄNGU SEADED:,CUSTOMIZED MATCH SETTINGS:,AJUSTES DE LA PARTIDA PERSONALIZADOS,AJUSTES DE LA PARTIDA PERSONALIZADOS,PARAMÈTRES PERSONNALISÉS DE LA PARTIE,IMPOSTAZIONI PARTITA PERSONALIZZATA,マッチ設定：,사용자 지정 매치 설정:,WŁASNE USTAWIENIA MECZU:,DEFINIÇÕES DA PARTIDA PERSONALIZADAS:,ПЕРСОНАЛИЗИРОВАННЫЕ НАСТРОЙКИ МАТЧА:,ÖZELLEŞTİRİLMİŞ KAPIŞMA AYARLARI:,ЗМІНА НАЛАШТУВАНЬ МАТЧУ:,自定义对战设置：,對戰設定：
DOUBLE UNLOCK,"DESBLOQUEOU ""O DOBRO OU NADA""!",„DOPPELT ODER NICHTS“ FREIGESCHALTET!,"""TOPELT VÕI MITTE MIDAGI"" ON AVATUD!","""DOUBLE OR NOTHING"" UNLOCKED!","¡""DOBLE O NADA"" DESBLOQUEADO!","¡""DOBLE O NADA"" DESBLOQUEADO!",« QUITTE OU DOUBLE » DISPONIBLE !,"""LASCIA O RADDOPPIA"" SBLOCCATO!","ダブル・オア・ ナッシング
アンロック！",더블 아니면 꽝 잠금 해제!,"ODBLOKOWANO TRYB ""PODWÓJNA STAWKA ALBO NIC""!","DESBLOQUEASTE ""O DOBRO OU NADA""!",ОТКРЫТ РЕЖИМ «ВСЕ ИЛИ НИЧЕГО»!,YA HEP YA HİÇ AÇILDI!,РЕЖИМ «УДВІЧІ БІЛЬШЕ АБО НІЧОГО» ВІДКРИТИЙ!,“加倍还是放弃”已解锁！,「加倍還是放棄」已解鎖！
MP_UI LOBBY ID MESSAGE COPIED,ID DA SALA COPIADO PARA ÁREA DE TRANSFERÊNCIA!,LOBBY-ID IN DIE ZWISCHENABLAGE KOPIERT!,KOPEERISIME ID LÕIKEPUHVRISSE!,LOBBY ID COPIED TO CLIPBOARD!,¡SE HA COPIADO EL ID DE LA SALA EN EL PORTAPAPELES!,SE HA COPIADO EL ID DE SALA AL PORTAPAPELES.,ID DE SALON COPIÉ DANS LE PRESSE-PAPIERS !,ID LOBBY COPIATO,ロビーIDコピー完了！,클립보드에 로비 ID를 복사하였습니다!,SKOPIOWANO ID LOBBY DO SCHOWKA!,ID DO LOBBY COPIADO PARA A ÁREA DE TRANSFERÊNCIA!,КОД ЛОББИ СКОПИРОВАН В БУФЕР ОБМЕНА!,LOBİ KİMLİĞİ PANOYA KOPYALANDI!,КОД ЛОБІ СКОПІЙОВАНО ДО БУФЕРА ОБМІНУ.,大厅ID已复制到剪贴板！,房間ID複製成功！
MP_REMOTE DESC,TROCA  A ORDEM DO TURNO.,WECHSELT DIE SPIELRICHTUNG.,"VAHETAB KÄIMIST PÄRI-
VÕI VASTUPÄEVA.",SWAPS THE TURN ORDER.,CAMBIA EL ORDEN DE LOS TURNOS.,CAMBIA LA DIRECCIÓN DEL TURNO.,INVERSE L'ORDRE DES TOURS.,INVERTE L'ORDINE DEI TURNI,ターン順逆転,턴 순서를 바꿉니다.,ZMIENIA KOLEJNOŚĆ TUR.,TROCA A ORDEM DOS TURNOS.,ИЗМЕНЯЕТ ОЧЕРЕДНОСТЬ ХОДОВ.,SIRALARI DEĞİŞTİRİR.,ЗМІНЮЄ ПОРЯДОК ХОДІВ,交换回合顺序。,逆轉行動順序
MP_UI SAVE AND RETURN,SALVAR MUDANÇAS E VOLTAR,ÄNDERUNGEN SPEICHERN UND ZURÜCK,SALVESTA JA NAASE,SAVE CHANGES AND RETURN,GUARDAR CAMBIOS Y VOLVER,GUARDAR CAMBIOS Y VOLVER,SAUVEGARDER LES MODIFICATIONS ET REVENIR,SALVA CAMBIAMENTI E RITORNA,変更確定し戻る,변경 사항 저장 후 돌아가기,ZAPISZ ZMIANY I POWRÓĆ,GUARDAR ALTERAÇÕES E VOLTAR,СОХРАНИТЬ ИЗМЕНЕНИЯ И ВЕРНУТЬСЯ,DEĞİŞİKLİKLERİ KAYDET VE DÖN,ЗБЕРЕГТИ ЗМІНИ Й ПОВЕРНУТИСЯ,保存更改并返回,儲存並返回
LIVEROUNDS,%s MUNIÇÕES REAIS.,%s SCHARFE MUNITION.,%s TERAVAT.,%s LIVE ROUNDS.,%s BALAS CARGADAS.,%s BALAS CARGADAS.,%s CARTOUCHES RÉELLES.,%s PROIETTILI VERI.,実弾 %s,%s 실탄이야.,%s OSTRE NABOJE.,%s MUNIÇÕES REAIS.,%s БОЕВЫХ.,%s GERÇEK FİŞEK,%s БОЙОВИХ.,%s 实弹。,%s 實彈。
HOLD TO EXIT,MANTENHA %s PRESSIONADO PARA SAIR...,HALTE %s ZUM VERLASSEN ...,"HOIA '%s' NUPPU, ET LAHKUDA ...",HOLD '%s' TO EXIT ...,MANTÉN PULSADO '%s' PARA SALIR...,MANTÉN PULSADO %s PARA SALIR...,MAINTENEZ %s APPUYÉ POUR QUITTER...,PREMI %s PER USCIRE...,%s長押しで退出……,%s 길게 눌러 나가기...,"PRZYTRZYMAJ %s, ABY WYJŚĆ...",MANTÉM '%s' PREMIDO PARA SAIR...,"УДЕРЖИВАЙТЕ '%s', ЧТОБЫ ВЫЙТИ ...",ÇIKMAK İÇİN %s TUŞUNU BASILI TUT...,"УТРИМУЙТЕ %s, ЩОБ ВИЙТИ…",长按 %s 退出……,長按 %s 退出……
INVERTER DESC,"TROCA O TIPO DE MUNIÇÃO DO
CARTUCHO ATUAL NA CÂMARA DA ARMA.",WECHSELT DIE ART DER AKTUELLEN PATRONE IN DER KAMMER.,"VAHETAB KESTAHEITEAVAS OLEVA 
PADRUNI POLAARSUST.","SWAPS THE POLARITY OF THE
CURRENT SHELL IN THE CHAMBER.","CAMBIA LA POLARIDAD DEL
CARTUCHO QUE HAY EN LA RECÁMARA.",CAMBIA EL CARTUCHO DE LA RECÁMARA POR SU INVERSO,"CHANGE LE TYPE DE CARTOUCHE
DANS LA CHAMBRE.","SCAMBIA IL TIPO DI PROIETTILE
PRESENTE IN CANNA.",薬室の弾の性質を反転,"약실에 장전된 탄의
극성을 변경합니다.","ZAMIENIA RODZAJ
NABOJU W KOMORZE.","TROCA A POLARIDADE DO
CARTUCHO ATUAL NA CÂMARA DA ARMA.","МЕНЯЕТ ТЕКУЩИЙ ПАТРОН В ПАТРОННИКЕ
НА ПРОТИВОПОЛОЖНЫЙ.","FİŞEK YATAĞINDAKİ MEVCUT
FİŞEĞİN POLARİTESİNİ DEĞİŞTİRİR.","ЗМІНЮЄ ПОТОЧНИЙ ПАТРОН У НАБІЙНИКУ
НА ПРОТИЛЕЖНИЙ.",切换弹膛内当前子弹为实弹或空包弹。,切換彈膛內當前子彈為實彈或空包彈。
OPTIONS,OPÇÕES,OPTIONEN,SEADED,OPTIONS,OPCIONES,OPCIONES,OPTIONS,OPZIONI,オプション,옵션,OPCJE,OPÇÕES,НАСТРОЙКИ,SEÇENEKLER,НАЛАШТУВАННЯ,选项,選項
CIGARETTE DESC,"DÁ UMA ACALMADA.
RECUPERA 1 CARGA.","QUALM WIRKT BERUHIGEND.
ERHALTE 1 LADUNG ZURÜCK.","LEEVENDAB STRESSI.
TAASTAD 1 SÄRTSU.","TAKES THE EDGE OFF.
REGAIN 1 CHARGE.","TE CALMA UN POCO.
RECUPERAS 1 CARGA.","TE CALMA UN POCO.
RECUPERAS 1 CARGA.","VOUS APAISE UN PEU.
VOUS RÉCUPÉREZ 1 CHARGE.","PLACA L'AGITAZIONE.
RIOTTIENI 1 CARICA.","一服
ライフ 1 回復","긴장을 풀어줍니다.
차지를 1 획득합니다.",TROCHĘ CIĘ ODPRĘŻA. ODZYSKUJESZ 1 POZIOM ZDROWIA.,"RELAXA.
RECUPERA 1 CARGA.","СНИМИТЕ СТРЕСС.
ВОЗВРАЩАЕТ 1 РАЗРЯД.","GERGİNLİĞİ ALIR.
1 HAKKINI GERİ VERİR.","ЗНІМАЮТЬ СТРЕС.
ПОВЕРТАЮТЬ 1 ЗАРЯД.","消除压力。
 恢复 1 点生命值。","消除壓力。
 恢復 1 點生命值。"
MP_UI EXITING IN,SAINDO EM %s ...,VERLASSEN IN %s ...,LAHKUMINE ... %s,EXITING IN %s ...,SALIENDO EN %s ...,SALIENDO EN %s ...,SORTIE DANS %s ...,TERMINE PARTITA IN %s ...,%sで退出…,%s 초 후 종료...,OPUŚCISZ GRĘ ZA %s...,A SAIR EM %s...,ВЫХОД ЧЕРЕЗ %s СЕК...,AYRILMAYA %s...,ВИХІД ЗА %s СЕК ...,即将退出 %s …,%s 後退出……
MP_UI NUMBER OF ROUNDS,NÚMERO DE RODADAS:,RUNDENANZAHL:,VOORUDE ARV:,NUMBER OF ROUNDS:,NÚMERO DE RONDAS:,NÚMERO DE RONDAS:,NOMBRE DE MANCHES :,NUMERO DI ROUND:,ラウンド数：,라운드 수:,LICZBA RUND:,NÚMERO DE RONDAS:,КОЛИЧЕСТВО РАУНДОВ:,RAUNT SAYISI:,КІЛЬКІСТЬ РАУНДІВ:,回合数：,回合數：
MP_UI LOBBY VERSION MISMATCH,"FALHA AO ENTRAR:

A SUA VERSÃO (%s) NÃO É COMPATÍVEL COM A VERSÃO DO ANFITRIÃO (%s).","SPIEL KONNTE NICHT BEIGETRETEN WERDEN.

DEINE SPIELVERSION (%s) UNTERSCHEIDET SICH VON DER DES HOSTS (%s).","ÜHENDUMISE VIGA:

SINU VERSIOON (%s) EI OLE SAMA, MIS HOSTARVUTI VERSIOON (%s).","FAILED TO JOIN:

YOUR VERSION (%s) DOES NOT MATCH THE HOST'S VERSION (%s).","
ERROR AL UNIRSE:

TU VERSIÓN (%s) NO COINCIDE CON LA VERSIÓN DEL ANFITRIÓN (%s).
","NO HAS PODIDO UNIRTE:

TU VERSIÓN (%s) NO CORRESPONDE CON LA VERSIÓN DEL ANFITRIÓN (%s).","IMPOSSIBLE DE REJOINDRE : 

VOTRE VERSION (%s) NE CORRESPOND PAS À LA VERSION DE L'HÔTE (%s).","IMPOSSIBILE UNIRSI:

LA VERSIONE (%s) È INCOMPATIBILE CON LA VERSIONE (%s)  DELL'HOST. ","参加失敗：

ゲームバージョン（%s）がホスト（%s）と不一致","연결에 실패하였습니다:

당신의 게임 버전이(%s) 방장의 것(%s)과 일치하지 않습니다.","NIE UDAŁO SIĘ DOŁĄCZYĆ.

TWOJA WERSJA GRY (%s) JEST NIEZGODNA Z WERSJĄ HOSTA (%s)","ERRO AO ENTRAR:

A TUA VERSÃO (%s) NÃO COINCIDE COM A VERSÃO DO ANFITRIÃO (%s).","НЕ УДАЛОСЬ ПРИСОЕДИНИТЬСЯ.

ВАША ВЕРСИЯ ИГРЫ (%s) ОТЛИЧАЕТСЯ ОТ ВЕРСИИ ХОСТА (%s).","BAĞLANILAMADI.

OYUN SÜRÜMÜN (%s), KURUCUNUN OYUN SÜRÜMÜYLE (%s) AYNI DEĞİL.","НЕ ВДАЛОСЯ ПРИЄДНАТИСЯ:

ВАША ВЕРСІЯ (%s) ВІДРІЗНЯЄТЬСЯ ВІД ВЕРСІЇ ХОСТА (%s).","加入失败：

你的版本 (%s) 与主持人的版本 (%s) 不匹配。","加入失敗：

你的遊戲版本（%s）和房主的遊戲版本（%s）不同。"
MP_JAMMER DESC,O OPONENTE SELECIONADO PULA O PRÓXIMO TURNO.,DER AUSGEWÄHLTE GEGNER ÜBERSPRINGT SEINE NÄCHSTE RUNDE.,"VALITUD VASTANE JÄTAB
JÄRGMISE KÄIGU VAHELE.",SELECTED OPPONENT SKIPS THEIR NEXT TURN.,EL RIVAL QUE ESCOJAS PERDERÁ EL SIGUIENTE TURNO.,EL RIVAL QUE ESCOJAS PIERDE EL SIGUIENTE TURNO.,L'ADVERSAIRE SÉLECTIONNÉ PASSE SON TOUR SUIVANT.,L'AVVERSARIO SELEZIONATO SALTA IL PROSSIMO TURNO,選んだ相手の次ターンをスキップ,해당 아이템으로 선택한 적은 다음 턴을 넘깁니다.,WYBRANY PRZECIWNIK TRACI TURĘ.,O ADVERSÁRIO SELECIONADO SALTA O SEU PRÓXIMO TURNO.,ВЫБРАННЫЙ ПРОТИВНИК ПРОПУСКАЕТ СВОЙ СЛЕДУЮЩИЙ ХОД.,"SEÇİLEN RAKİP, SONRAKİ SIRASINI PAS GEÇER.",ОБРАНИЙ СУПЕРНИК ПРОПУСКАЄ СВІЙ НАСТУПНИЙ ХІД.,指定任意对手跳过下一回合。,讓指定的對手無法行動一回合。
FINAL SHOW1,"POR FIM, CHEGAMOS
AO DUELO FINAL.","ENDLICH KOMMEN WIR
ZUM FINALEN SHOWDOWN.","LÕPUKS OMETI, JÕUAME
VIIMASELE VOORULE.","LONG LAST, WE ARRIVE
AT THE FINAL SHOWDOWN.","POR FIN, LLEGAMOS AL
DUELO FINAL.","POR FIN, LLEGAMOS AL
DUELO FINAL.","ON ARRIVE ENFIN AU MOMENT 
DE VÉRITÉ","FINALMENTE, ECCOCI
ALLO SCONTRO FINALE.","ついに来たな
最終決戦の時だ","드디어 마지막 승부를
겨룰 때가 왔군.","W KOŃCU DOCIERAMY
DO OSTATECZNEGO STARCIA.","FINALMENTE CHEGAMOS
AO DUELO FINAL.",ЧТО Ж... ВОТ И ПОДОШЛО ВРЕМЯ ФИНАЛЬНОЙ ДУЭЛИ.,"NİHAYET MÜCADELENİN
SON AŞAMASINA GELDİK.",НАРЕШТІ МИ ПОЧИНАЄМО.,"终于，我们来到了
 最终的决战。","終於，我們來到了
 最終的決戰。"
MP_UI LOBBY BLOCKED YOU,Falha ao entrar. Um usuário na sala bloqueou sua entrada.,Spiel konnte nicht beigetreten werden. Ein Spieler in der Lobby hat dir den Zutritt verweigert.,Ühendumine ebaõnnestus. Mängija on sind blokeerinud ruumi sisenemast.,Failed to join. A user in the lobby has blocked you from joining.,No has podido unirte. Un usuario de la sala te ha bloqueado.,No has podido unirte. Un usuario de la sala te ha bloqueado.,Impossible de rejoindre. Un utilisateur du salon vous a bloqué l'accès.,Impossibile unirsi: un utente nella lobby ti ha bloccato.,参加失敗 ロビー参加中ユーザーによりブロック中,연결하지 못하였습니다. 로비에 있는 사용자 중 한 명이 귀하의 연결을 차단하였습니다.,Nie udało się dołączyć. Uniemożliwił ci to któryś z użytkowników w lobby.,Falha ao entrar. Um utilizador na sala bloqueou a tua entrada.,Не удалось присоединиться; вас блокирует один из пользователей данного лобби.,"Bağlantı kurulamadı. Lobideki bir kullanıcı, senin katılmanı engelledi.",Не вдалося підключитися. Вас заблокував гравець у лобі.,加入失败。房间内的某位用户阻止了你加入。,加入失敗。房間裡的玩家禁止你加入。
TURKISH,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE,TÜRKÇE
FINAL SHOW2,"CHEGA DE DESFIBRILADORES.
CHEGA DE TRANSFUSÕES DE SANGUE.","KEINE DEFIBRILLATOREN MEHR.
KEINE BLUTTRANSFUSIONEN MEHR.","EI MINGEID MASINAID,
EI MINGIT VEREPUMPAMIST.","NO MORE DEFIBRILLATORS.
NO MORE BLOOD TRANSFUSIONS.","SE ACABARON LOS DESFIBRILADORES.
SE ACABARON LAS TRANSFUSIONES DE SANGRE.","SE ACABARON LOS DESFIBRILADORES.
SE ACABARON LAS TRANSFUSIONES DE SANGRE.","FINIS, LES DÉFIBRILLATEURS.
FINIES, LES TRANSFUSIONS SANGUINES.","BASTA COI DEFIBRILLATORI
E LE TRASFUSIONI DI SANGUE.","除細動器なし
輸血もなしだ","제세동기도 없고
수혈도 금지야.","ŻADNYCH DEFIBRYLATORÓW.
ŻADNYCH TRANSFUZJI.","CHEGA DE DESFIBRILADORES.
CHEGA DE TRANSFUSÕES DE SANGUE.","БОЛЬШЕ НИКАКИХ ДЕФИБРИЛЛЯТОРОВ.
НИКАКИХ ПЕРЕЛИВАНИЙ КРОВИ.","ARTIK DEFİBRİLATÖR YOK.
KAN NAKİLLERİ YOK.","ЖОДНИХ ДЕФІБРИЛЯТОРІВ.
ЖОДНИХ ПЕРЕЛИВАНЬ КРОВІ.","不再有心脏除颤器，
也没有输血。","不再有心臟除顫器，
 也沒有輸血。"
MP_CONSOLE EXIT NOT ENOUGH PLAYERS,Você foi desconectado: Sem jogadores o suficiente para continuar o jogo.,"Deine Verbindung wurde getrennt. Nicht genug Spieler, um das Spiel fortzusetzen.","Sind on mängust välja visatud:
Pole piisavalt mängijaid, et jätkata.",You have been disconnected: Not enough players to continue the game.,Te has desconectado: faltan jugadores para continuar la partida.,Te has desconectado: Faltan jugadores para continuar la partida.,Vous avez été déconnecté : il ne reste pas assez de joueurs pour poursuivre la partie.,Sei stato disconnesso: numero di giocatori insufficiente.,"退室：

ゲーム続行にプレイヤー数不充分",연결이 끊겼습니다: 플레이어 수가 부족하여 게임을 계속 진행할 수 없습니다.,"Zostałeś rozłączony(-na): za mało graczy, aby kontynuować grę.",A tua sessão foi terminada: não há jogadores suficientes para continuar o jogo.,Ваше соединение прервано: недостаточно игроков для продолжения игры.,Bağlantı kesildi; oyuna devam etmek için yeterli sayıda oyuncu yok.,Ви від'єдналися: недостатньо гравців для продовження гри.,"你已断开连接：

玩家数量不足，无法继续游戏。","你已離線：

玩家數量不足，無法進行遊戲。"
FINAL SHOW3,"AGORA, EU E VOCÊ ESTAMOS DANÇANDO
ENTRE A VIDA E A MORTE.","ICH UND DU, WIR TANZEN JETZT
AM RANDE VON LEBEN UND TOD.","NÜÜD, MINA JA SINA, ME TANTSIME
ELU JA SURMA ÄÄRE PEAL.","NOW, ME AND YOU, WE ARE DANCING
ON THE EDGE OF LIFE AND DEATH.","AHORA, TÚ Y YO BAILAREMOS
AL BORDE DE LA VIDA Y LA MUERTE.","AHORA, TÚ Y YO BAILAREMOS
AL BORDE DE LA VIDA Y LA MUERTE.","MAINTENANT, TOI ET MOI, ON VA DANSER
ENTRE LA VIE ET LA MORT.","SIAMO SOLO IO E TE, PRONTI A DANZARE
A METÀ TRA LA VITA E LA MORTE.","さあ共に
生死の狭間で踊ろうか","너랑 나, 나랑 너 둘이서
삶과 죽음의 경계에서 춤추는 거지.","TERAZ TY I JA TAŃCZYMY
NA KRAWĘDZI ŻYCIA I ŚMIERCI.","AGORA, EU E TU, ESTAMOS A
DANÇAR ENTRE A VIDA E A MORTE.","ТОЛЬКО ТЫ И Я. И НАШ ПОСЛЕДНИЙ ТАНЕЦ 
НА ГРАНИ ЖИЗНИ И СМЕРТИ.","YAŞAMIN VE ÖLÜMÜN KIYISINDA
DANSA BAŞLADIK ARTIK.","ЦЕ НАШ ОСТАННІЙ ТАНЕЦЬ
НА КРАЮ ЖИТТЯ І СМЕРТІ.","现在，你我二人在
 生与死的边缘起舞。","現在，你我二人在
 生與死的邊緣起舞。"
